Parameter,A,A,A,B,B,B,C,C,C,D,D,D,E,E,E,Column length,Column angle,I-shaft length,Pinion length,Mounting angle,Offset angle,UJ1 angle,UJ2 angle,diff in UJ angles,Modulation (%)
248,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1987.02,229.7,849.19,1861.85,175.0,751.39,1852.0,175.0,764.0,490.5,38.5,438.89,168.0,38.0,19.0,27.0,26.99,0.00909,0.01617
249,2600.0,300.0,1575.0,2177.39,300.0,1238.84,2008.65,229.53,862.01,1861.63,175.0,751.22,1852.0,175.0,764.0,490.0,38.5,418.86,192.0,37.0,16.5,28.92,28.91,0.00851,0.0164
250,2600.0,300.0,1575.0,2171.99,300.0,1246.57,2004.34,249.92,870.94,1862.28,175.0,751.74,1852.0,175.0,764.0,489.5,37.5,414.38,200.0,40.0,22.0,29.21,29.21,0.00843,0.01644
251,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1983.45,237.31,853.41,1862.28,175.0,751.74,1852.0,175.0,764.0,489.5,38.5,436.45,170.0,40.0,21.5,26.02,26.03,0.00971,0.01656
252,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1994.52,225.87,851.36,1861.63,175.0,751.22,1852.0,175.0,764.0,489.0,38.5,435.71,174.0,37.0,17.0,27.83,27.84,0.00901,0.0166
253,2600.0,300.0,1575.0,2168.74,300.0,1250.02,1984.71,231.09,843.97,1861.63,175.0,751.22,1852.0,175.0,764.0,490.0,37.0,451.1,164.0,37.0,20.0,29.83,29.84,0.00833,0.01668
254,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1994.98,237.25,859.19,1862.07,175.0,751.57,1852.0,175.0,764.0,489.0,38.5,426.74,182.0,39.0,20.0,27.04,27.03,0.00939,0.01673
255,2600.0,300.0,1575.0,2174.08,300.0,1242.23,2007.87,232.74,861.42,1861.63,175.0,751.22,1852.0,175.0,764.0,490.5,38.0,420.91,192.0,37.0,17.5,29.75,29.76,0.00848,0.01691
256,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2017.73,239.28,873.18,1861.85,175.0,751.39,1852.0,175.0,764.0,490.5,38.5,403.15,208.0,38.0,18.0,29.15,29.16,0.00873,0.017
257,2600.0,300.0,1575.0,2174.87,300.0,1242.85,2000.56,246.1,867.77,1862.28,175.0,751.74,1852.0,175.0,764.0,489.5,38.0,417.11,194.0,40.0,21.5,28.0,27.99,0.00934,0.01732
258,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2023.14,256.71,891.57,1862.5,175.0,751.92,1852.0,175.0,764.0,490.5,38.5,382.01,228.0,41.0,21.0,28.28,28.27,0.00926,0.01739
259,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2010.18,230.1,863.17,1861.63,175.0,751.22,1852.0,175.0,764.0,490.5,38.5,416.67,194.0,37.0,16.5,29.06,29.07,0.00912,0.01768
260,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1994.52,225.87,851.36,1861.63,175.0,751.22,1852.0,175.0,764.0,490.5,38.5,434.39,174.0,37.0,17.0,27.92,27.91,0.00959,0.01774
261,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1989.86,216.06,844.38,1861.4,175.0,751.06,1852.0,175.0,764.0,489.5,38.5,445.2,164.0,36.0,14.5,28.07,28.06,0.00966,0.01799
262,2600.0,300.0,1575.0,2174.47,300.0,1242.54,1985.83,219.1,841.46,1861.4,175.0,751.06,1852.0,175.0,764.0,490.0,38.0,450.55,160.0,36.0,16.0,28.6,28.59,0.00952,0.0181
263,2600.0,300.0,1575.0,2174.87,300.0,1242.85,2000.17,222.57,851.88,1861.4,175.0,751.06,1852.0,175.0,764.0,489.5,38.0,435.17,178.0,36.0,15.5,29.6,29.61,0.00925,0.01836
264,2600.0,300.0,1575.0,2174.47,300.0,1242.54,2010.84,254.42,880.88,1862.5,175.0,751.92,1852.0,175.0,764.0,490.0,38.0,399.56,212.0,41.0,22.0,28.36,28.37,0.00978,0.01843
265,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1988.49,229.7,846.82,1861.63,175.0,751.22,1852.0,175.0,764.0,489.0,37.5,445.88,168.0,37.0,19.0,29.14,29.15,0.00977,0.01903
266,2600.0,300.0,1575.0,2175.26,300.0,1243.16,2015.43,246.82,875.75,1862.07,175.0,751.57,1852.0,175.0,764.0,489.0,38.0,404.18,210.0,39.0,20.0,29.39,29.38,0.00979,0.01924
